DOGE-USDT-SWAP_buyprice_long_202605131433=0.11226	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605131503=0.11192	9999997->9999998
XAU-USDT-SWAP_buyprice_long_202605131513=4706.9	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605131524=0.11145	-370->-369
DOGE-USDT-SWAP_buyprice_long_202605131524=0.11182	-371->-370
DOGE-USDT-SWAP_buyprice_long_202605131526=0.11205	9999997->9999998
XAU-USDT-SWAP_buyprice_long_202605131529=4710.8	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605131539=0.11211	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605131617=0.11231	9999997->9999998
XAU-USDT-SWAP_buyprice_long_202605131621=4703.8	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605131641=0.11234	9999997->9999998
XAU-USDT-SWAP_buyprice_long_202605131654=4702	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605131702=0.11248	-381->-380
DOGE-USDT-SWAP_buyprice_long_202605131723=0.11279	-384->-383
XAU-USDT-SWAP_buyprice_long_202605131736=4696.5	9999997->9999998
XAU-USDT-SWAP_buyprice_long_202605131752=4700.5	9999997->9999998
XAU-USDT-SWAP_buyprice_long_202605131806=4704.6	9999997->9999998
XAU-USDT-SWAP_buyprice_long_202605131813=4706.6	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605131813=0.11362	-393->-392
DOGE-USDT-SWAP_buyprice_long_202605131820=0.11373	-394->-393
DOGE-USDT-SWAP_buyprice_long_202605131820=0.11382	-395->-394
DOGE-USDT-SWAP_buyprice_long_202605131820=0.11393	-396->-395
DOGE-USDT-SWAP_buyprice_long_202605131821=0.11418	-397->-396
DOGE-USDT-SWAP_buyprice_long_202605131827=0.11384	-395->-394
DOGE-USDT-SWAP_buyprice_long_202605131828=0.11362	-393->-392
DOGE-USDT-SWAP_buyprice_long_202605131830=0.11377	-394->-393
DOGE-USDT-SWAP_buyprice_long_202605131849=0.11392	-396->-395
DOGE-USDT-SWAP_buyprice_long_202605131854=0.1139	9999997->9999998
XAU-USDT-SWAP_buyprice_long_202605131901=4698.7	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605131905=0.11334	-390->-389
DOGE-USDT-SWAP_buyprice_long_202605131906=0.11321	-389->-388
DOGE-USDT-SWAP_buyprice_long_202605131908=0.11343	-391->-390
DOGE-USDT-SWAP_buyprice_long_202605131909=0.11353	-392->-391
DOGE-USDT-SWAP_buyprice_long_202605131917=0.11344	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605131924=0.11315	-388->-387
DOGE-USDT-SWAP_buyprice_long_202605131926=0.11305	-387->-386
DOGE-USDT-SWAP_buyprice_long_202605131928=0.11286	-385->-384
XAU-USDT-SWAP_buyprice_long_202605131930=4703	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605131931=0.11296	-386->-385
XAU-USDT-SWAP_buyprice_long_202605131934=4707.5	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605131951=0.11249	-381->-380
DOGE-USDT-SWAP_buyprice_long_202605131955=0.1126	-382->-381
DOGE-USDT-SWAP_buyprice_long_202605132000=0.11267	-383->-382
DOGE-USDT-SWAP_buyprice_long_202605132001=0.1128	-384->-383
DOGE-USDT-SWAP_buyprice_long_202605132002=0.11292	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605132021=0.11239	-380->-379
DOGE-USDT-SWAP_buyprice_long_202605132022=0.11215	-378->-377
DOGE-USDT-SWAP_buyprice_long_202605132022=0.11212	-377->-376
DOGE-USDT-SWAP_buyprice_long_202605132026=0.1123	-379->-378
DOGE-USDT-SWAP_buyprice_long_202605132031=0.11196	-375->-374
DOGE-USDT-SWAP_buyprice_long_202605132032=0.11176	-373->-372
DOGE-USDT-SWAP_buyprice_long_202605132033=0.11158	-371->-370
DOGE-USDT-SWAP_buyprice_long_202605132033=0.11164	-372->-371
DOGE-USDT-SWAP_buyprice_long_202605132034=0.11181	-374->-373
DOGE-USDT-SWAP_buyprice_long_202605132038=0.11119	-367->-366
DOGE-USDT-SWAP_buyprice_long_202605132039=0.11112	-366->-365
DOGE-USDT-SWAP_buyprice_long_202605132039=0.11128	-368->-367
DOGE-USDT-SWAP_buyprice_long_202605132040=0.11102	-365->-364
DOGE-USDT-SWAP_buyprice_long_202605132041=0.1114	-369->-368
DOGE-USDT-SWAP_buyprice_long_202605132041=0.11145	-370->-369
DOGE-USDT-SWAP_buyprice_long_202605132052=0.11201	-376->-375
XAU-USDT-SWAP_buyprice_long_202605132102=4693.4	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605132104=0.1121	9999997->9999998
XAU-USDT-SWAP_buyprice_long_202605132124=4696.9	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605132148=0.11077	-363->-362
DOGE-USDT-SWAP_buyprice_long_202605132148=0.11069	-362->-361
DOGE-USDT-SWAP_buyprice_long_202605132148=0.11081	-364->-363
XAU-USDT-SWAP_buyprice_long_202605132153=4680.9	9999997->9999998
XAU-USDT-SWAP_buyprice_long_202605132154=4686.1	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605132158=0.11056	-361->-360
DOGE-USDT-SWAP_buyprice_long_202605132200=0.11038	-359->-358
DOGE-USDT-SWAP_buyprice_long_202605132200=0.11022	-357->-356
DOGE-USDT-SWAP_buyprice_long_202605132200=0.11033	-358->-357
DOGE-USDT-SWAP_buyprice_long_202605132201=0.11018	-356->-355
DOGE-USDT-SWAP_buyprice_long_202605132202=0.11049	-360->-359
DOGE-USDT-SWAP_buyprice_long_202605132213=0.11113	9999997->9999998
XAU-USDT-SWAP_buyprice_long_202605132226=4690	9999997->9999998
XAU-USDT-SWAP_buyprice_long_202605132232=4694.2	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605132234=0.11164	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605132343=0.11093	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605132358=0.10974	-352->-351
DOGE-USDT-SWAP_buyprice_long_202605132359=0.10978	-353->-352
DOGE-USDT-SWAP_buyprice_long_202605132359=0.10989	-354->-353
DOGE-USDT-SWAP_buyprice_long_202605140000=0.1101	-355->-354
DOGE-USDT-SWAP_buyprice_long_202605140018=0.1108	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605140024=0.1112	9999997->9999998
XAU-USDT-SWAP_buyprice_long_202605140103=4703.6	9999997->9999998
XAU-USDT-SWAP_buyprice_long_202605140209=4695.5	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605140235=0.11385	-395->-394
DOGE-USDT-SWAP_buyprice_long_202605140247=0.11356	-392->-391
DOGE-USDT-SWAP_buyprice_long_202605140248=0.11343	-391->-390
DOGE-USDT-SWAP_buyprice_long_202605140254=0.11362	-393->-392
