DOGE-USDT-SWAP_buyprice_long_202605121023=0.11117	-367->-366
DOGE-USDT-SWAP_buyprice_long_202605121025=0.11126	-368->-367
DOGE-USDT-SWAP_buyprice_long_202605121033=0.11097	-365->-364
DOGE-USDT-SWAP_buyprice_long_202605121039=0.11061	-361->-360
XAU-USDT-SWAP_buyprice_long_202605121041=4730.7	9999997->9999998
XAU-USDT-SWAP_buyprice_long_202605121044=4734.5	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605121045=0.11067	-362->-361
DOGE-USDT-SWAP_buyprice_long_202605121052=0.1108	-363->-362
DOGE-USDT-SWAP_buyprice_long_202605121052=0.1108	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605121053=0.11085	-364->-363
DOGE-USDT-SWAP_buyprice_long_202605121124=0.11039	-359->-358
DOGE-USDT-SWAP_buyprice_long_202605121132=0.11046	-360->-359
DOGE-USDT-SWAP_buyprice_long_202605121136=0.11048	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605121148=0.11019	-357->-356
DOGE-USDT-SWAP_buyprice_long_202605121153=0.1101	-356->-355
DOGE-USDT-SWAP_buyprice_long_202605121158=0.11	-355->-354
XAU-USDT-SWAP_buyprice_long_202605121217=4731.6	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605121221=0.1103	-358->-357
DOGE-USDT-SWAP_buyprice_long_202605121223=0.11031	9999997->9999998
XAU-USDT-SWAP_buyprice_long_202605121237=4729.8	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605121254=0.10981	-353->-352
DOGE-USDT-SWAP_buyprice_long_202605121255=0.10991	-354->-353
XAU-USDT-SWAP_buyprice_long_202605121303=4721.6	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605121303=0.11004	9999997->9999998
XAU-USDT-SWAP_buyprice_long_202605121316=4718.8	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605121342=0.11033	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605121434=0.11077	-363->-362
DOGE-USDT-SWAP_buyprice_long_202605121435=0.11087	-364->-363
XAU-USDT-SWAP_buyprice_long_202605121438=4705.1	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605121438=0.11099	-365->-364
DOGE-USDT-SWAP_buyprice_long_202605121503=0.11	-355->-354
DOGE-USDT-SWAP_buyprice_long_202605121506=0.10982	-353->-352
DOGE-USDT-SWAP_buyprice_long_202605121506=0.10991	-354->-353
XAU-USDT-SWAP_buyprice_long_202605121511=4700.5	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605121512=0.11011	-356->-355
DOGE-USDT-SWAP_buyprice_long_202605121512=0.11019	-357->-356
XAU-USDT-SWAP_buyprice_long_202605121519=4705.2	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605121519=0.11025	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605121603=0.10963	-351->-350
DOGE-USDT-SWAP_buyprice_long_202605121605=0.10953	-350->-349
DOGE-USDT-SWAP_buyprice_long_202605121615=0.10958	-347->-346
DOGE-USDT-SWAP_buyprice_long_202605121615=0.10966	-348->-347
DOGE-USDT-SWAP_buyprice_long_202605121615=0.10968	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605121615=0.10968	-349->-348
DOGE-USDT-SWAP_buyprice_long_202605121616=0.10972	-352->-351
DOGE-USDT-SWAP_buyprice_long_202605121623=0.11001	9999997->9999998
XAU-USDT-SWAP_buyprice_long_202605121654=4707.7	9999997->9999998
DOGE-USDT-SWAP_buyprice_long_202605121731=0.10964	9999997->9999998
XAU-USDT-SWAP_buyprice_long_202605121739=4707.7	9999997->9999998
XAU-USDT-SWAP_buyprice_long_202605121748=4705	9999997->9999998
XAU-USDT-SWAP_buyprice_long_202605121801=4708.9	9999997->9999998
